InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
536859,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,3/12/2010 10:43,2.95,12841,United Kingdom
536863,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,3/12/2010 11:19,2.95,17967,United Kingdom
536876,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,3/12/2010 11:36,5.91,,United Kingdom
536976,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,3/12/2010 14:18,2.95,14723,United Kingdom
536987,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,3/12/2010 14:54,2.95,17198,United Kingdom
536993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,3/12/2010 15:19,2.95,14396,United Kingdom
537044,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,5/12/2010 10:52,2.95,18055,United Kingdom
537046,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,5/12/2010 10:58,2.95,18109,United Kingdom
537051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,5/12/2010 11:12,2.95,15708,United Kingdom
537051,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,5/12/2010 11:12,2.95,15708,United Kingdom
537054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,5/12/2010 11:40,2.95,16931,United Kingdom
537054,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,5/12/2010 11:40,2.95,16931,United Kingdom
537055,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,5/12/2010 11:45,2.95,16814,United Kingdom
537126,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,5/12/2010 12:13,2.95,18118,United Kingdom
537127,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,5/12/2010 12:13,2.55,13831,United Kingdom
537138,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,5/12/2010 12:44,2.95,17211,United Kingdom
537144,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,5/12/2010 13:00,2.95,15880,United Kingdom
537210,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,5/12/2010 15:15,2.55,15953,United Kingdom
537224,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,5/12/2010 16:24,2.95,13174,United Kingdom
537237,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,6/12/2010 9:58,5.91,,United Kingdom
537239,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,6/12/2010 10:05,2.95,18219,United Kingdom
537240,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,6/12/2010 10:08,5.91,,United Kingdom
537242,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,6/12/2010 10:19,2.95,14748,United Kingdom
537301,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,6/12/2010 11:38,2.95,15860,United Kingdom
537332,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,6/12/2010 11:58,2.95,14344,United Kingdom
537334,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,6/12/2010 12:06,2.95,16719,United Kingdom
537388,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,6/12/2010 13:35,2.95,17682,United Kingdom
537393,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,6/12/2010 13:59,2.55,13089,United Kingdom
537395,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,6/12/2010 14:05,2.95,15356,United Kingdom
537400,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,6/12/2010 14:36,2.95,17191,United Kingdom
537419,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,6/12/2010 15:14,2.55,13495,United Kingdom
537424,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,6/12/2010 15:35,2.95,15602,United Kingdom
537434,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,6/12/2010 16:57,5.91,,United Kingdom
537446,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,7/12/2010 9:13,2.95,18055,United Kingdom
537457,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,7/12/2010 9:51,2.55,17511,United Kingdom
537460,85123A,WHITE HANGING HEART T-LIGHT HOLDER,128,7/12/2010 10:04,2.55,17616,United Kingdom
537484,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,7/12/2010 11:30,2.55,14733,United Kingdom
537523,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,7/12/2010 11:45,2.95,14176,United Kingdom
C537602,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,7/12/2010 12:45,2.55,17511,United Kingdom
537604,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,7/12/2010 13:01,2.55,13488,United Kingdom
537605,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,7/12/2010 13:13,2.95,16221,United Kingdom
537606,85123A,WHITE HANGING HEART T-LIGHT HOLDER,19,7/12/2010 13:16,2.95,15002,United Kingdom
537607,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,7/12/2010 13:18,2.95,15965,United Kingdom
537612,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,7/12/2010 13:28,2.95,13769,United Kingdom
537619,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,7/12/2010 13:53,2.55,13786,United Kingdom
537638,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,7/12/2010 15:28,5.91,,United Kingdom
537650,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,7/12/2010 15:48,2.95,16125,United Kingdom
537655,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,7/12/2010 16:20,2.95,15081,United Kingdom
537666,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,7/12/2010 18:36,5.91,,United Kingdom
537669,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,8/12/2010 8:58,2.95,16863,United Kingdom
537674,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,8/12/2010 9:51,2.95,15628,United Kingdom
537754,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,8/12/2010 11:16,2.95,16081,United Kingdom
537755,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,8/12/2010 11:31,2.55,16525,United Kingdom
537764,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,8/12/2010 12:06,2.95,16893,United Kingdom
537769,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,8/12/2010 12:17,2.95,15021,United Kingdom
537769,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,8/12/2010 12:17,2.95,15021,United Kingdom
537773,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,8/12/2010 12:36,2.95,16016,United Kingdom
537795,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,8/12/2010 13:03,2.95,17213,United Kingdom
537823,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,8/12/2010 14:25,5.91,,United Kingdom
537828,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,8/12/2010 14:43,2.95,15680,United Kingdom
537831,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,8/12/2010 14:50,2.95,17894,United Kingdom
537842,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,8/12/2010 15:12,2.95,13140,United Kingdom
537843,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,8/12/2010 15:16,2.95,15713,United Kingdom
537866,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,8/12/2010 16:45,2.55,17655,United Kingdom
537867,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,8/12/2010 16:48,2.95,16717,United Kingdom
537879,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,9/12/2010 8:34,2.95,14243,United Kingdom
537898,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,9/12/2010 10:42,2.95,17377,United Kingdom
537955,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,9/12/2010 11:28,2.95,16782,United Kingdom
537963,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,9/12/2010 11:30,2.95,13369,United Kingdom
538006,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,9/12/2010 12:13,2.55,14987,United Kingdom
538032,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,9/12/2010 12:59,2.95,14479,United Kingdom
538035,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,9/12/2010 13:03,2.95,16065,United Kingdom
538053,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,9/12/2010 13:34,2.55,15856,United Kingdom
538064,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,9/12/2010 13:47,2.95,15271,United Kingdom
538065,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,9/12/2010 13:57,2.55,13982,United Kingdom
538071,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,9/12/2010 14:09,5.91,,United Kingdom
538086,85123A,WHITE HANGING HEART T-LIGHT HOLDER,14,9/12/2010 14:44,2.95,12872,United Kingdom
538095,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,9/12/2010 14:55,2.95,17097,Spain
538145,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,9/12/2010 16:08,2.95,15211,United Kingdom
538157,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,9/12/2010 16:57,2.95,17576,United Kingdom
538166,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,9/12/2010 18:09,2.95,17965,United Kingdom
538176,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,10/12/2010 9:48,2.55,17675,United Kingdom
538177,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,10/12/2010 9:51,5.91,,United Kingdom
538182,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,10/12/2010 10:18,2.95,17827,United Kingdom
538186,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,10/12/2010 10:26,2.95,13000,United Kingdom
538190,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,10/12/2010 10:47,2.95,17790,United Kingdom
538198,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,10/12/2010 11:01,2.95,17827,United Kingdom
538248,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,10/12/2010 12:14,2.95,18116,United Kingdom
538250,85123A,WHITE HANGING HEART T-LIGHT HOLDER,8,10/12/2010 12:20,2.95,18118,United Kingdom
538252,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,10/12/2010 12:29,2.55,16019,United Kingdom
538260,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,10/12/2010 12:42,2.95,18178,United Kingdom
538296,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,10/12/2010 13:06,2.95,13148,United Kingdom
538312,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,10/12/2010 13:48,2.95,16727,United Kingdom
538349,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,10/12/2010 14:59,5.91,,United Kingdom
C538350,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,10/12/2010 15:01,2.55,13798,United Kingdom
538370,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 11:06,2.95,16923,United Kingdom
538374,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/12/2010 11:17,2.95,14159,United Kingdom
538379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/12/2010 11:26,2.95,17126,United Kingdom
538379,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/12/2010 11:26,2.95,17126,United Kingdom
538403,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 11:46,2.95,17211,United Kingdom
538437,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 12:18,2.95,16010,United Kingdom
538449,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 12:24,2.95,17085,United Kingdom
538473,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 12:35,2.95,13668,United Kingdom
538497,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/12/2010 12:44,2.95,14684,United Kingdom
538508,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 13:32,2.95,15998,United Kingdom
538514,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/12/2010 14:27,2.95,15044,United Kingdom
538518,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/12/2010 16:14,2.95,14505,United Kingdom
538524,85123A,WHITE HANGING HEART T-LIGHT HOLDER,27,12/13/2010 9:35,5.91,,United Kingdom
538529,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/13/2010 10:24,2.95,14290,United Kingdom
538532,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/13/2010 10:31,2.95,13209,United Kingdom
538533,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/13/2010 10:31,2.55,14796,United Kingdom
538566,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,12/13/2010 11:21,5.91,,United Kingdom
538592,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/13/2010 11:47,2.95,15854,United Kingdom
538596,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/13/2010 12:10,2.95,17990,United Kingdom
538626,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,12/13/2010 12:57,2.95,17338,United Kingdom
538634,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/13/2010 13:28,2.95,14085,United Kingdom
538635,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/13/2010 13:32,2.95,17303,United Kingdom
538641,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/13/2010 14:36,2.55,15640,United Kingdom
538664,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/13/2010 15:46,2.55,14733,United Kingdom
538671,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/13/2010 16:38,2.55,15777,United Kingdom
538683,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,12/13/2010 17:40,2.55,14525,United Kingdom
538707,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/14/2010 10:38,2.95,17894,United Kingdom
538710,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/14/2010 10:48,2.95,18075,United Kingdom
538744,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/14/2010 11:26,2.95,15356,United Kingdom
538799,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/14/2010 11:48,2.95,15039,United Kingdom
538800,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/14/2010 11:51,2.95,16458,United Kingdom
538826,85123A,WHITE HANGING HEART T-LIGHT HOLDER,64,12/14/2010 12:58,2.55,12370,Cyprus
538827,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/14/2010 12:59,2.55,14298,United Kingdom
538832,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/14/2010 13:03,2.95,17158,United Kingdom
C538834,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,12/14/2010 13:06,2.95,14415,United Kingdom
538849,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,12/14/2010 13:31,2.95,14415,United Kingdom
538851,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/14/2010 13:32,2.55,16556,United Kingdom
538852,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,12/14/2010 13:33,2.95,17372,United Kingdom
538910,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/15/2010 10:54,2.95,17454,United Kingdom
538942,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/15/2010 11:14,2.95,17346,United Kingdom
538951,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/15/2010 11:26,2.95,16782,United Kingdom
538991,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/15/2010 11:53,2.55,17511,United Kingdom
538995,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/15/2010 12:05,2.55,13458,United Kingdom
539007,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/15/2010 13:00,2.95,17894,United Kingdom
539010,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/15/2010 13:24,2.95,15005,United Kingdom
539019,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/15/2010 14:12,2.95,17551,United Kingdom
539030,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,12/15/2010 14:25,2.95,13089,United Kingdom
539034,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/15/2010 14:29,2.95,16161,United Kingdom
539079,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/16/2010 8:39,2.95,17496,United Kingdom
539088,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/16/2010 9:45,2.55,13093,United Kingdom
539089,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/16/2010 9:46,2.95,15246,United Kingdom
539103,85123A,WHITE HANGING HEART T-LIGHT HOLDER,96,12/16/2010 10:38,2.55,16985,United Kingdom
539105,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/16/2010 10:43,2.95,14825,United Kingdom
539109,85123A,WHITE HANGING HEART T-LIGHT HOLDER,500,12/16/2010 11:07,2.55,16013,United Kingdom
539196,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/16/2010 12:09,2.95,18055,United Kingdom
539212,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/16/2010 12:20,2.95,17146,United Kingdom
539225,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/16/2010 13:02,2.95,15379,United Kingdom
539243,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/16/2010 13:21,2.95,18116,United Kingdom
539282,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/16/2010 15:45,2.95,16770,United Kingdom
539283,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/16/2010 15:47,2.95,14092,United Kingdom
539290,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/16/2010 16:36,2.95,16271,United Kingdom
539314,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/16/2010 18:20,2.55,13874,United Kingdom
539317,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/16/2010 19:04,2.95,17392,United Kingdom
539317,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/16/2010 19:04,2.95,17392,United Kingdom
539320,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,12/16/2010 19:16,2.95,14911,EIRE
539321,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/16/2010 19:19,2.95,14723,United Kingdom
539321,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/16/2010 19:19,2.95,14723,United Kingdom
539325,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/17/2010 8:20,2.95,13004,United Kingdom
C539329,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-500,12/17/2010 9:37,2.55,16013,United Kingdom
539353,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/17/2010 11:30,2.95,12782,Portugal
539414,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/17/2010 13:45,2.95,16931,United Kingdom
539434,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/17/2010 14:41,5.91,,United Kingdom
539436,85123A,WHITE HANGING HEART T-LIGHT HOLDER,9,12/17/2010 14:49,5.91,,United Kingdom
539437,85123A,WHITE HANGING HEART T-LIGHT HOLDER,7,12/17/2010 14:54,5.91,,United Kingdom
539439,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/17/2010 15:14,2.95,13869,United Kingdom
539450,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/17/2010 16:53,2.95,15570,United Kingdom
539451,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/17/2010 16:59,5.91,,United Kingdom
539453,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/17/2010 17:08,5.91,,United Kingdom
539454,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/17/2010 17:12,2.95,17377,United Kingdom
539470,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/19/2010 14:03,2.95,14472,United Kingdom
539471,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/19/2010 14:16,2.95,17358,United Kingdom
539477,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/19/2010 14:58,2.95,18245,United Kingdom
539484,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/19/2010 15:44,2.55,15640,United Kingdom
539501,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/20/2010 11:08,2.95,17085,United Kingdom
C539576,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-24,12/20/2010 12:25,2.95,14911,EIRE
539580,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,12/20/2010 12:51,2.95,15312,United Kingdom
539587,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/20/2010 13:10,2.55,14298,United Kingdom
539588,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,12/20/2010 13:11,2.95,14527,United Kingdom
539590,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/20/2010 13:21,2.55,14733,United Kingdom
539595,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/20/2010 13:43,5.91,,United Kingdom
539658,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/21/2010 9:34,2.95,17213,United Kingdom
539708,85123A,WHITE HANGING HEART T-LIGHT HOLDER,2,12/21/2010 12:18,5.91,,United Kingdom
539718,85123A,WHITE HANGING HEART T-LIGHT HOLDER,3,12/21/2010 13:06,5.91,,United Kingdom
539722,85123A,WHITE HANGING HEART T-LIGHT HOLDER,24,12/21/2010 13:45,2.95,14911,EIRE
539730,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/21/2010 14:54,2.95,13487,United Kingdom
539826,85123A,WHITE HANGING HEART T-LIGHT HOLDER,13,12/22/2010 12:39,2.95,15044,United Kingdom
C539832,85123A,WHITE HANGING HEART T-LIGHT HOLDER,-1,12/22/2010 13:20,2.55,17239,United Kingdom
539835,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/22/2010 13:39,2.95,16477,United Kingdom
539836,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/22/2010 13:46,2.95,17894,United Kingdom
539867,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,12/23/2010 10:38,2.95,13922,United Kingdom
539920,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,12/23/2010 11:06,2.95,14085,United Kingdom
539985,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,12/23/2010 15:16,2.55,15856,United Kingdom
539988,85123A,WHITE HANGING HEART T-LIGHT HOLDER,5,12/23/2010 16:06,2.95,18116,United Kingdom
539993,85123A,WHITE HANGING HEART T-LIGHT HOLDER,12,4/1/2011 10:00,2.95,13313,United Kingdom
540014,85123A,WHITE HANGING HEART T-LIGHT HOLDER,6,4/1/2011 11:34,2.95,14606,United Kingdom
540016,85123A,WHITE HANGING HEART T-LIGHT HOLDER,10,4/1/2011 11:42,2.95,16282,United Kingdom
540026,85123A,WHITE HANGING HEART T-LIGHT HOLDER,1,4/1/2011 13:25,5.91,,United Kingdom
540033,85123A,WHITE HANGING HEART T-LIGHT HOLDER,32,4/1/2011 14:12,2.55,13680,United Kingdom
